iso,year,tree_loss_ha,gfw_gross_emissions_co2e_all_gases__Mg
CAN,2003,1607282.58,563161204.6
CHE,2003,433.2828851,198339.0291
CHL,2003,82843.76404,25320678.79
CHN,2003,261761.4952,88961143.81
CIV,2003,86282.29679,33339320.1
CMR,2003,25344.84636,13421355.53
COD,2003,274739.9994,142534975.8
COG,2003,18514.84252,9696452.65
COL,2003,122417.1448,59321092.12
COM,2003,26.65331395,12471.53738
CPV,2003,8.925222414,0
CRI,2003,8260.607755,4132409.33
CUB,2003,6556.683915,2024959.575
CUW,2003,0.827957708,177.2526493
CYM,2003,6.324797604,1485.482103
CYP,2003,25.22916781,5776.947926
CZE,2003,3925.277971,1657497.27
DEU,2003,6448.617531,2933379.817
DMA,2003,27.23870244,15061.87686
DNK,2003,1579.71326,387045.6127
DOM,2003,10714.00158,4235695.484
DZA,2003,3831.437113,1154236.822
ECU,2003,13835.72643,8214941.186
EGY,2003,61.01187804,25055.32179
ESP,2003,23315.39344,6954042.165
EST,2003,5632.561979,1369429.505
ETH,2003,13936.04122,6515794.498
FIN,2003,89696.55115,16478401.29
FJI,2003,1572.235904,832537.207
FRA,2003,26393.33418,9918028.169
GAB,2003,16845.22031,9841798.776
GBR,2003,1875.16737,599957.8348
GEO,2003,292.002685,112711.7841
GHA,2003,24955.24902,10101783.14
GIN,2003,9229.458009,3486133.436
GLP,2003,76.87749934,29990.41118
GMB,2003,10.56543665,3389.768376
GNB,2003,1021.877364,324096.342
GNQ,2003,1961.187536,1185255.957
GRC,2003,2562.535174,595794.8469
GRD,2003,71.34625369,37248.2776
GTM,2003,98173.67565,36339875.3
GUF,2003,1889.081601,1374278.538
GUY,2003,7418.606943,4522542.375
HKG,2003,7.057239355,3411.303154
HND,2003,33624.77328,14281965.27
HRV,2003,1738.980492,621755.7345
HTI,2003,1070.162075,382587.2947
HUN,2003,5733.022733,2066433.363
IDN,2003,544810.2966,430989148.5
IMN,2003,1.817298033,522.5026344
IND,2003,47750.63815,23303803.75
IRL,2003,2262.865182,966413.3493
IRN,2003,326.6750206,73847.0432
IRQ,2003,19.61672495,8804.072064
ISR,2003,30.17165819,6594.315773
ITA,2003,3613.191038,922267.8626
JAM,2003,1029.274034,453933.3402
JOR,2003,0.065259603,6.134463931
JPN,2003,19747.36425,7733254.622
KAZ,2003,3351.858901,659535.4566
KEN,2003,13552.81076,6327051.453
KGZ,2003,110.7895604,22821.86341
KHM,2003,56839.5435,28318223.26
KNA,2003,32.14738442,13160.93826
KOR,2003,3611.332973,994173.3429
LAO,2003,87074.13238,44427618.67
LBN,2003,83.57542339,17175.76922
LBR,2003,21604.81357,10235494.34
LBY,2003,25.26571737,5017.279305
LCA,2003,19.4266862,9264.041986
LKA,2003,3149.494821,1178188.617
LSO,2003,2.484692584,763.3571536
LTU,2003,8916.009263,2416083.221
LUX,2003,103.4199707,49641.03692
LVA,2003,21321.4159,5722961.067
MAF,2003,3.295436471,1183.075055
MAR,2003,2042.52646,617672.0954
MDA,2003,100.5993463,27314.26848
MDG,2003,84247.95977,38126491.45
MDV,2003,2.142708274,33.09228796
MEX,2003,152559.2962,47851832.21
MKD,2003,895.2280943,305030.6227
MLI,2003,34.24351147,12373.40755
MMR,2003,77224.46441,40466356.39
MNE,2003,203.6859679,55783.60842
MNG,2003,38433.831,13475063.45
MOZ,2003,79643.95853,25965213.73
MRT,2003,1.256266299,192.4024988
MSR,2003,2.286058313,1025.040882
MTQ,2003,288.4695298,142120.0317
MUS,2003,119.6302621,51697.15677
MWI,2003,7112.996717,2773004.945
MYS,2003,183911.2165,107836986.3
MYT,2003,30.92584943,15640.12249
NAM,2003,208.6842167,54846.35986
NCL,2003,883.9158608,367894.5019
NER,2003,0.224596165,34.57067031
NGA,2003,13380.62881,4533327.247
NIC,2003,46963.69084,22271254.16
NLD,2003,309.8542634,112752.6102
NOR,2003,14817.39184,3135823.239
NPL,2003,2291.937476,1292837.403
NZL,2003,44798.28289,19994902.31
PAK,2003,641.697765,259194.8955
PAN,2003,11283.21097,5614243.736
PER,2003,73869.2433,45466123.91
PHL,2003,35154.20535,20205488.52
PLW,2003,17.62527665,11976.37955
PNG,2003,31805.61403,23447301.63
POL,2003,33292.99197,9822050.004
PRI,2003,1194.089454,541756.2761
PRK,2003,7348.877292,2156864.102
PRT,2003,26840.33637,6110630.179
PRY,2003,267309.0875,70083033.41
PSE,2003,1.438763533,292.9770256
REU,2003,142.6275971,60783.02459
ROU,2003,9427.598947,3764495.038
RUS,2003,3030068.958,369624263.2
RWA,2003,1060.927568,432363.5795
SDN,2003,18.66824164,5779.925092
SEN,2003,37.78890445,13805.29086
SGP,2003,18.84275868,6183.646354
SLB,2003,2374.830165,1749428.141
SLE,2003,9098.946831,3524967.909
SLV,2003,5983.700596,2226921.991
SMR,2003,0.055779092,15.13558369
SOM,2003,105.3720153,25493.02606
SRB,2003,864.9410101,356889.3661
SSD,2003,2063.178286,580740.2041
SUR,2003,4545.827243,3081290.159
SVK,2003,3750.001625,1586956.087
SVN,2003,528.3497426,210821.0678
SWE,2003,92619.4072,18793311.77
SWZ,2003,5760.353992,3280623.524
SXM,2003,2.12410459,478.2526014
SYR,2003,114.8063417,29915.25244
TCA,2003,10.37610118,1707.750811
TCD,2003,193.5413761,55923.92861
TGO,2003,2054.056559,604336.6867
THA,2003,58447.9422,29854944
TJK,2003,31.86869306,9015.681546
TKM,2003,84.86276665,17245.70942
TLS,2003,690.7395443,416900.2287
TTO,2003,726.4368091,333456.3648
TUN,2003,1539.083728,479978.249
TUR,2003,17743.88168,4264867.457
TWN,2003,1125.206168,562326.2602
TZA,2003,84068.20903,27017924.3
UGA,2003,11980.09565,5065153.996
UKR,2003,38954.86705,11889223.62
URY,2003,10611.51037,3360840.588
USA,2003,1649383.91,551402106.2
UZB,2003,52.79889595,13686.3069
VCT,2003,9.668587918,4717.962108
VEN,2003,87228.87271,36573289.98
VGB,2003,1.82742184,622.4894746
VIR,2003,39.95442694,15135.90004
VNM,2003,43007.84845,22018776.7
VUT,2003,529.2629618,292711.8194
XCA,2003,8.85048139,494.6241061
XKO,2003,261.3241772,108987.9665
XNC,2003,2.458474056,468.208342
ZAF,2003,92572.61492,50307319.95
ZMB,2003,41954.73061,15821622.03
ZWE,2003,7312.198341,2963165.817
AFG,2004,201.4449585,33916.24132
AGO,2004,71273.87691,21257528.59
AIA,2004,8.853995905,1647.367467
ALA,2004,735.849796,162198.1032
ALB,2004,3236.59554,1353404.36
AND,2004,22.58937449,8216.194433
ARG,2004,433429.6897,85852590.33
ARM,2004,83.20474395,25760.51064
ATG,2004,25.46325975,8175.653224
AUS,2004,124768.677,36375750.49
AUT,2004,14599.40477,6334044.008
AZE,2004,584.955793,157771.224
BDI,2004,613.8788333,203150.3375
BEL,2004,4793.340651,2293033.744
BEN,2004,683.6076116,188386.2231
BES,2004,0.297395552,73.0596522
BFA,2004,8.605090964,33154.65797
BGD,2004,4282.539726,2013071.585
BGR,2004,8170.466307,2747143.141
BHS,2004,588.0993715,136602.4696
BIH,2004,4121.820011,1615227.669
BLM,2004,0.146597992,34.21884795
BLR,2004,38596.68301,11492162.18
BLZ,2004,4312.259674,1814146.599
BMU,2004,0.652759236,181.9525899
BOL,2004,203251.4841,90034302.76
BRA,2004,3848770.79,1879012461
BRB,2004,8.319537711,2886.642554
BRN,2004,1197.136196,790820.2511
BTN,2004,1013.177804,603144.0079
BWA,2004,50.65776501,9050.689702
CAF,2004,14588.89728,7254301.423
CAN,2004,2706458.872,925666217.5
CHE,2004,3829.659122,1800726.252
CHL,2004,85728.78243,27083521.67
CHN,2004,501543.7961,185382290.4
CIV,2004,48048.33722,18507278.24
CMR,2004,23003.29793,11856969.32
COD,2004,400044.274,218888109.8
COG,2004,13832.85006,6688198.132
COL,2004,253840.0087,131057480.5
COM,2004,40.38383805,20936.56307
CPV,2004,0.59513159,0
CRI,2004,9767.049736,4399498.652
CUB,2004,21973.72747,5992811.956
CUW,2004,0.601840548,122.0645403
CYM,2004,47.10307624,15001.09182
CYP,2004,87.55564101,22704.28642
CZE,2004,13453.69086,5606943.494
DEU,2004,44939.9818,20324542.54
DMA,2004,79.35513134,43876.2303
DNK,2004,2413.812853,633926.2161
DOM,2004,19387.94135,7790502.365
DZA,2004,4374.159388,1271488.26
ECU,2004,37249.86389,20329275.78
EGY,2004,101.4492395,25384.29709
ESP,2004,67273.87562,19135961.11
EST,2004,18106.2207,4263419.146
ETH,2004,13396.26216,5957247.695
FIN,2004,146602.3462,28517090.1
FJI,2004,2079.813684,1121061.915
FRA,2004,76134.34456,30620755.62
GAB,2004,9981.655614,5710957.028
GBR,2004,24846.81263,9553035.532
GEO,2004,1967.062715,819090.9436
GGY,2004,0.100761849,24.35703804
GHA,2004,17625.24051,7675896.163
GIN,2004,17158.3261,5838565.326
GLP,2004,191.1700125,77118.42326
GMB,2004,63.0847225,18410.91468
GNB,2004,3539.10216,1135052.756
GNQ,2004,421.4307721,236299.4339
GRC,2004,6813.690617,1739820.729
GRD,2004,631.0175742,367081.2751
GTM,2004,56448.60918,23403165.48
GUF,2004,4805.025467,3518605.869
GUY,2004,4062.36701,2584500.806
HKG,2004,18.88890724,7271.697422
HND,2004,26455.07106,11572683.06
HRV,2004,6727.12796,2391905.276
HTI,2004,2382.72801,856320.0988
HUN,2004,12008.50913,4410423.87
IDN,2004,1289042.657,968024406.5
IMN,2004,8.57891682,2700.633431
IND,2004,74129.19983,36218069.88
IRL,2004,6865.772989,2998821.861
IRN,2004,276.0028258,62272.62245
IRQ,2004,4.421485863,1115.983468
ISR,2004,67.69178197,14524.71077
ITA,2004,17224.87734,4665934.945
JAM,2004,3901.152525,1877964.034
JEY,2004,1.164486755,361.7742818
JOR,2004,2.285148839,351.0368069
JPN,2004,37312.53504,15032084.41
KAZ,2004,5513.10185,1190485.964
KEN,2004,16988.3283,7647777.652
KGZ,2004,192.268986,44497.2516
KHM,2004,79250.90741,41775452.56
KNA,2004,25.0763394,10381.47633
KOR,2004,11406.23474,3150954.778
LAO,2004,64248.47656,33348606.47
LBN,2004,109.2798766,25201.6761
LBR,2004,6233.559719,2981731.814
LBY,2004,10.26316376,1650.930879
LCA,2004,40.20301619,18666.42602
LIE,2004,9.430858215,4773.586796
LKA,2004,5599.447793,1892221.055
LSO,2004,4.377548763,1319.220886
LTU,2004,13100.96703,3633667.444
LUX,2004,311.4913424,153953.4923
LVA,2004,30638.90654,8122560.709
MAF,2004,1.611069718,593.5879936
MAR,2004,1440.577721,409605.8933
MDA,2004,264.0361809,70071.69257
MDG,2004,81845.25203,39672215.67
MDV,2004,2.372010473,212.465686
MEX,2004,169841.4503,55398857.2
MKD,2004,2200.45235,820365.4419
MLI,2004,153.3126343,57375.63216
